name1,name2,P_values,Weights,Hurst Exponent,Half-Life
BTC-USD,USDT-USD,0.040331241,"[[ 1.58147716e-05 -2.10824405e-04]
 [-9.76506126e+02  2.20993116e+01]]",0.469651014,5.945232677
BTC-USD,USDC-USD,0.000644708,"[[ 1.15396871e-05 -2.10397878e-04]
 [-2.61963535e+02 -2.36971319e-01]]",0.480993583,6.387315541
BTC-USD,DOGE-USD,0.009572762,"[[7.32694857e-05 2.23245477e-04]
 [8.60047187e+01 1.24590296e+01]]",0.472842185,73.10259819
BTC-USD,WBTC-USD,0.011347914,"[[ 3.38758538e-03 -2.04547968e-04]
 [-3.39888887e-03 -5.88028150e-06]]",0.398955411,2.552096998
ETH-USD,USDT-USD,0.016250983,"[[ 6.05402788e-04 -4.32229038e-03]
 [-9.81083415e+02  6.00511438e+00]]",0.466850969,5.632731656
ETH-USD,USDC-USD,0.000342641,"[[ 1.32995911e-04 -4.31946141e-03]
 [-2.61785651e+02  1.80818868e+00]]",0.467035951,6.411942226
ETH-USD,DOGE-USD,0.006332303,"[[ 1.04575543e-03  4.30974119e-03]
 [ 7.99226264e+01 -7.00488212e-01]]",0.470284049,69.62349054
USDT-USD,BNB-USD,0.01353992,"[[ 9.97201757e+02  8.66550843e+00]
 [-5.94307195e-03  2.37597224e-02]]",0.476999001,5.333823154
USDT-USD,SOL-USD,0.014124725,"[[ 9.75004719e+02 -1.76083691e+01]
 [-1.83468130e-02  2.06161820e-01]]",0.460413054,5.864080123
USDT-USD,XRP-USD,0.009914888,"[[979.26705588 -10.27121116]
 [  1.62343041  10.47603527]]",0.475552621,5.665302582
