asset,Date,Position,Balance,Total share
ETH-USD,2023-07-01 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-02 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-03 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-04 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-05 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-06 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-07 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-08 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-09 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-10 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-11 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-12 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-13 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-14 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-15 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-16 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-17 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-18 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-19 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-20 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-21 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-22 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-23 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-24 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-25 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-26 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-27 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-28 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-29 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-30 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-31 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-01 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-02 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-03 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-04 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-05 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-06 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-07 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-08 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-09 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-10 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-11 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-12 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-13 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-14 00:00:00+00:00,SELL,1000.0,0.0
