,Date,Mean
97,2023-10-06 00:00:00+00:00,-2.400528129384654
98,2023-10-07 00:00:00+00:00,-2.7857630299311404
99,2023-10-08 00:00:00+00:00,-2.662164111408862
100,2023-10-09 00:00:00+00:00,-2.7409697317577906
101,2023-10-10 00:00:00+00:00,-2.28705991927434
102,2023-10-11 00:00:00+00:00,-2.429209471183557
103,2023-10-12 00:00:00+00:00,-2.9139581831390844
104,2023-10-13 00:00:00+00:00,-2.8021444370868047
105,2023-10-14 00:00:00+00:00,-0.9910440905719704
106,2023-10-15 00:00:00+00:00,-1.7230404977097975
107,2023-10-16 00:00:00+00:00,-2.261252861706853
108,2023-10-17 00:00:00+00:00,-0.8635923240074234
109,2023-10-18 00:00:00+00:00,-1.659293785140553
110,2023-10-19 00:00:00+00:00,-1.6046688996552336
111,2023-10-20 00:00:00+00:00,-1.4168617628178306
112,2023-10-21 00:00:00+00:00,-1.6514322737822542
113,2023-10-22 00:00:00+00:00,-466.2645177370401
114,2023-10-23 00:00:00+00:00,-1.2693595073302983
115,2023-10-24 00:00:00+00:00,-1.3095649545166714
116,2023-10-25 00:00:00+00:00,-1.0374005381598608
117,2023-10-26 00:00:00+00:00,-1.1273104005156551
118,2023-10-27 00:00:00+00:00,-1.0727774867332749
119,2023-10-28 00:00:00+00:00,-0.7861505952531969
120,2023-10-29 00:00:00+00:00,-0.70138072962062
121,2023-10-30 00:00:00+00:00,0.115016408268014
122,2023-10-31 00:00:00+00:00,0.0293687540461106
123,2023-11-01 00:00:00+00:00,0.1501038360885727
124,2023-11-02 00:00:00+00:00,-0.5309311963115052
125,2023-11-03 00:00:00+00:00,-0.4718688243216538
126,2023-11-04 00:00:00+00:00,-0.4101426567371712
127,2023-11-05 00:00:00+00:00,-0.3244913917340588
128,2023-11-06 00:00:00+00:00,-0.278412559033678
129,2023-11-07 00:00:00+00:00,-0.16589597373816
130,2023-11-08 00:00:00+00:00,0.0432479902521618
131,2023-11-09 00:00:00+00:00,-0.0683664388745555
132,2023-11-10 00:00:00+00:00,-0.172224354513006
133,2023-11-11 00:00:00+00:00,-0.132561974726766
134,2023-11-12 00:00:00+00:00,0.8476210079206601
135,2023-11-13 00:00:00+00:00,1.0622761333835595
136,2023-11-14 00:00:00+00:00,-0.1418736225732323
137,2023-11-15 00:00:00+00:00,0.8052578551374914
138,2023-11-16 00:00:00+00:00,0.9313232174597696
139,2023-11-17 00:00:00+00:00,1.028469673994604
140,2023-11-18 00:00:00+00:00,-0.3492175407584316
141,2023-11-19 00:00:00+00:00,-199.935358756192
142,2023-11-20 00:00:00+00:00,1.0027579026199227
143,2023-11-21 00:00:00+00:00,0.7146086777524789
144,2023-11-22 00:00:00+00:00,-0.0741827020009141
145,2023-11-23 00:00:00+00:00,1.243811482833079
146,2023-11-24 00:00:00+00:00,0.088384756934563
147,2023-11-25 00:00:00+00:00,0.1979990892557397
148,2023-11-26 00:00:00+00:00,-0.2371971033000041
149,2023-11-27 00:00:00+00:00,-0.0758032145416826
150,2023-11-28 00:00:00+00:00,0.0015342129244814
151,2023-11-29 00:00:00+00:00,0.2891057446219536
152,2023-11-30 00:00:00+00:00,0.1289979396038034
