Date,Balance
2023-10-20 00:00:00+00:00,833.7811945723355
2023-10-21 00:00:00+00:00,846.5828206492386
2023-10-22 00:00:00+00:00,864.3143454375747
2023-10-23 00:00:00+00:00,917.28876311648
2023-10-24 00:00:00+00:00,927.1895981008299
2023-10-25 00:00:00+00:00,928.7276503858546
2023-10-26 00:00:00+00:00,937.3746514978648
2023-10-27 00:00:00+00:00,924.9074149482268
2023-10-28 00:00:00+00:00,923.1266892316171
2023-10-29 00:00:00+00:00,932.9615596658236
2023-10-30 00:00:00+00:00,940.5178623121946
2023-10-31 00:00:00+00:00,943.8278873254446
2023-11-01 00:00:00+00:00,959.7435475887295
2023-11-02 00:00:00+00:00,935.5984925578035
2023-11-03 00:00:00+00:00,952.3161295249464
2023-11-04 00:00:00+00:00,965.2559005924379
2023-11-05 00:00:00+00:00,984.1999679818223
2023-11-06 00:00:00+00:00,987.1511204713119
2023-11-07 00:00:00+00:00,981.0650027362606
2023-11-08 00:00:00+00:00,981.6875431782382
2023-11-09 00:00:00+00:00,1101.8386096093607
2023-11-10 00:00:00+00:00,1079.8745709450006
2023-11-11 00:00:00+00:00,1066.5853780441055
2023-11-12 00:00:00+00:00,1062.6744413500307
2023-11-13 00:00:00+00:00,1067.9111386470825
2023-11-14 00:00:00+00:00,1028.3111603646423
2023-11-15 00:00:00+00:00,1070.5834640573123
2023-11-16 00:00:00+00:00,1018.8695401332133
2023-11-17 00:00:00+00:00,1019.0769479014523
2023-11-18 00:00:00+00:00,1020.1183632368402
2023-11-19 00:00:00+00:00,1046.0563854826237
2023-11-20 00:00:00+00:00,1050.7507780645549
2023-11-21 00:00:00+00:00,1006.4954150832009
2023-11-22 00:00:00+00:00,1072.6706077948286
2023-11-23 00:00:00+00:00,1071.5199069595396
2023-11-24 00:00:00+00:00,1081.361817840925
2023-11-25 00:00:00+00:00,1083.0562187952796
2023-11-26 00:00:00+00:00,1072.078702812196
2023-11-27 00:00:00+00:00,1053.4413705809782
2023-11-28 00:00:00+00:00,1064.831355284814
2023-11-29 00:00:00+00:00,1054.7465172620355
2023-11-30 00:00:00+00:00,1066.5034297760435
