Date,Stationary1,Stationary2,Stationary3,Stationary4,Stationary5,Stationary6,Stationary7,Stationary8,Stationary9,Stationary10
11/1/2022,1358.248188,9.894820933,1321.940956,826.1707721,9.36888226,1288.216352,1169.008237,1230.659587,3884.224917,1331.098092
11/2/2022,1358.124902,9.724426512,1321.862895,826.0225248,9.235871455,1288.136783,1168.950632,1230.337651,3884.275416,1331.003482
11/3/2022,1358.278943,9.973252222,1322.046877,826.1750519,9.818973917,1288.375225,1169.15483,1230.556327,3884.245751,1331.185517
11/4/2022,1358.604527,10.56066847,1322.322846,826.3467132,10.11357183,1288.689872,1169.558983,1230.980367,3884.634464,1331.523271
11/5/2022,1358.350773,10.42561459,1322.120266,826.3114206,10.13123448,1288.452381,1169.384662,1230.930463,3884.30947,1331.302527
11/6/2022,1358.361417,10.27745531,1322.088131,826.3319677,9.92790582,1288.404954,1169.287726,1231.017892,3884.437146,1331.350168
11/7/2022,1358.273,10.08457405,1322.029768,826.292372,10.2627342,1288.372857,1169.199414,1231.319504,3884.468794,1331.246478
11/8/2022,1358.184853,9.996415843,1321.95103,826.321181,9.913591684,1288.300232,1169.074956,1231.256573,3884.568518,1331.147489
11/9/2022,1358.304571,10.03725981,1322.076859,826.2256234,10.16777326,1288.552383,1169.224917,1231.569534,3884.508997,1331.263382
11/10/2022,1357.823634,9.768954136,1321.739936,826.0475145,9.673365568,1288.174495,1168.88598,1230.914756,3884.100103,1330.986317
11/11/2022,1357.510993,9.791132237,1321.519918,826.0655312,9.572038986,1287.947878,1168.526851,1230.619908,3883.953669,1330.794098
11/12/2022,1357.507368,9.798265697,1321.642162,826.0801853,9.716635503,1288.061623,1168.705298,1230.770143,3884.071124,1330.962668
11/13/2022,1357.574833,9.852967274,1321.690342,826.0951194,9.484619597,1288.118082,1168.690482,1230.778071,3884.358541,1331.062148
11/14/2022,1357.420144,9.724529745,1321.686191,826.1181747,9.706821637,1288.044111,1168.584314,1230.878341,3884.31462,1331.080367
11/15/2022,1357.39511,9.684503057,1321.647816,825.9672026,9.294339351,1288.068903,1168.518701,1230.79692,3884.245642,1331.033428
11/16/2022,1357.444126,9.767578911,1321.680457,826.1221312,9.598522389,1288.154089,1168.594648,1230.701457,3884.210144,1331.091319
11/17/2022,1357.48871,9.921289262,1321.79493,826.2584734,9.91096219,1288.231903,1168.805947,1230.754145,3884.287502,1331.184317
11/18/2022,1357.394359,9.845024371,1321.771747,826.1770302,9.652369362,1288.191295,1168.650782,1230.617479,3884.394329,1331.168819
11/19/2022,1357.170489,9.715178288,1321.535648,826.1167977,9.677267184,1288.084197,1168.361208,1230.368668,3884.373404,1331.022813
11/20/2022,1356.947179,9.743838677,1321.467107,826.0606915,9.374139743,1287.794056,1168.132082,1230.246866,3884.134013,1330.935907
11/21/2022,1357.24267,9.766462949,1321.752579,826.1446593,9.634002875,1287.912351,1168.286551,1230.574686,3884.458898,1331.156216
11/22/2022,1357.223224,9.801242817,1321.700941,826.2191448,9.528100083,1287.87613,1168.224615,1230.585174,3884.392469,1331.157925
11/23/2022,1357.359011,9.953613435,1321.832345,826.432882,9.541617575,1287.969895,1168.450022,1230.621888,3884.375327,1331.314406
11/24/2022,1357.27376,9.830462373,1321.681428,826.3119016,9.939590401,1287.902542,1168.247377,1230.398868,3884.251512,1331.212737
11/25/2022,1358.08316,10.28273152,1322.089064,826.8057362,10.88877312,1288.590678,1168.914359,1230.684576,3884.58539,1331.781582
11/26/2022,1358.091532,11.14692592,1322.156627,827.3100401,10.95678276,1288.596303,1168.968232,1230.775681,3884.657411,1332.124971
11/27/2022,1357.744052,11.28018266,1321.992479,827.0364636,10.87632488,1288.338557,1168.721679,1230.553817,3884.317142,1331.807693
11/28/2022,1358.033875,11.83148692,1322.390897,827.1767235,11.07206357,1288.580061,1169.061102,1230.770965,3884.373656,1332.01341
11/29/2022,1358.35145,14.40593761,1322.488904,827.5828951,11.7204896,1288.787022,1169.29347,1230.822385,3884.800873,1332.318488
11/30/2022,1358.099646,14.09771579,1322.41728,827.4872041,11.24099222,1288.744187,1169.259178,1230.6088,3884.745559,1332.172355
12/1/2022,1357.789823,14.66846709,1322.351437,827.3112839,11.04156709,1288.426585,1168.923036,1230.422031,3884.017423,1331.809018
12/2/2022,1357.691052,15.69897615,1322.173629,827.3809269,11.10239773,1288.250408,1168.828534,1230.376402,3884.036823,1331.800443
12/3/2022,1357.57826,14.61980449,1322.091567,827.1646272,10.3649328,1288.130673,1168.639431,1230.285754,3884.287451,1331.714181
12/4/2022,1357.639027,14.28691239,1322.140556,827.1895508,10.78829499,1288.312438,1168.66268,1230.354856,3884.264255,1331.756123
12/5/2022,1358.172609,14.81669446,1322.540822,827.6575692,11.49537763,1288.995088,1169.291654,1231.08227,3884.382216,1332.212965
12/6/2022,1358.302086,14.73204891,1322.644988,827.4750737,11.23541998,1289.008253,1169.899225,1230.990313,3884.280877,1332.21953
12/7/2022,1357.937512,13.97357533,1322.303039,827.2049879,10.82993509,1288.786519,1169.102873,1230.659159,3884.159138,1332.003613
12/8/2022,1357.960189,13.65543982,1322.260015,827.5617728,11.58144693,1289.071359,1168.531737,1230.601317,3884.864357,1331.973489
12/9/2022,1357.431568,11.50776652,1321.701673,826.2608872,10.83639574,1288.222956,1167.441596,1229.747367,3884.195737,1331.110521
12/10/2022,1354.754726,9.761047577,1319.109181,825.5486141,10.29141074,1285.567576,1163.868498,1227.040726,3881.379343,1328.434361
12/11/2022,1354.421455,11.3095982,1318.667263,826.698925,11.79828166,1285.094192,1163.677696,1226.919888,3880.116217,1328.052181
12/12/2022,1354.74318,10.81581361,1318.875894,826.6803286,10.37971559,1285.391268,1163.870018,1227.238198,3881.081381,1328.562244
12/13/2022,1355.068503,10.9540988,1319.163776,826.1235047,15.11668946,1285.918384,1163.998824,1227.458222,3881.236099,1328.835903
12/14/2022,1355.132822,10.6095742,1319.34421,825.9064533,11.89292249,1286.082213,1163.903674,1227.323318,3881.428236,1329.005368
12/15/2022,1355.505365,10.75554301,1319.696849,826.3613802,11.54374394,1286.506612,1164.360076,1228.110443,3882.724603,1329.425889
12/16/2022,1355.734345,10.90903897,1319.940495,826.2074861,10.32222757,1286.716629,1164.552176,1228.411789,3882.630497,1329.653188
12/17/2022,1355.804777,10.75142481,1319.975056,825.9205123,11.15203998,1286.65378,1164.664357,1228.373553,3882.619711,1329.635919
12/18/2022,1355.935526,10.70253381,1320.159638,825.8367803,11.28166684,1286.835078,1164.74467,1228.666806,3882.989837,1329.81103
12/19/2022,1355.630986,10.69946629,1319.867582,825.9570724,11.76567975,1286.503553,1164.393627,1228.380927,3882.559352,1329.518187
12/20/2022,1355.579945,10.69759828,1319.762608,825.9081931,9.766067783,1286.386654,1164.248645,1228.327616,3882.275118,1329.519584
